Wavelength	Chla-coeff	Chlb-coeff	Chlc-coeff	PSC-coeff	PPC-coeff
650	0.003	0.0115	0.0032	0	0
652	0.0032	0.0118	0.0027	0	0
654	0.0036	0.0115	0.0024	0	0
656	0.0042	0.0106	0.0021	0	0
658	0.0052	0.0091	0.0018	0	0
660	0.0066	0.0077	0.0015	0	0
662	0.0082	0.0063	0.0013	0	0
664	0.0106	0.0046	0.0011	0	0
666	0.0137	0.0036	0.0008	0	0
668	0.0155	0.0028	0.0006	0	0
670	0.0182	0.0021	0.0004	0	0
672	0.0196	0.0016	0.0003	0	0
674	0.0203	0.0012	0.0002	0	0
676	0.0199	0.0009	0.0002	0	0
678	0.0182	0.0007	0.0001	0	0
680	0.0154	0.0005	0.0001	0	0
682	0.0127	0.0004	0.0001	0	0
684	0.0104	0.0003	0	0	0
686	0.0076	0.0003	0	0	0
688	0.0058	0.0002	0	0	0
690	0.0045	0.0001	0	0	0
692	0.0033	0.0001	0	0	0
694	0.002	0.0001	0	0	0
696	0.0013	0.0001	0	0	0
698	0.001	0.0001	0	0	0
700	0.0008	0.0001	0	0	0
702	0.0006	0	0	0	0
704	0.0005	0	0	0	0
706	0.0004	0	0	0	0
708	0.0004	0	0	0	0
710	0.0003	0	0	0	0
712	0.0003	0	0	0	0
714	0.0002	0	0	0	0
716	0.0002	0	0	0	0
718	0.0002	0	0	0	0
720	0.0002	0	0	0	0
722	0.0001	0	0	0	0
724	0.0001	0	0	0	0
726	0.0001	0	0	0	0
728	0.0001	0	0	0	0
730	0.0001	0	0	0	0
732	0.0001	0	0	0	0
734	0	0	0	0	0
736	0	0	0	0	0
738	0	0	0	0	0
740	0	0	0	0	0
742	0	0	0	0	0
744	0	0	0	0	0
746	0	0	0	0	0
748	0	0	0	0	0
750	0	0	0	0	0
